gene,selected_by_anova,selected_by_nsc,selected_by_both
gene_10061,True,True,True
gene_10098,True,True,True
gene_10128,True,False,False
gene_10141,False,True,False
gene_10176,False,True,False
gene_10177,True,True,True
gene_10213,False,True,False
gene_10218,True,True,True
gene_10235,False,True,False
gene_10266,True,True,True
gene_10279,True,True,True
gene_10284,True,True,True
gene_10290,True,True,True
gene_10335,True,False,False
gene_10348,True,True,True
gene_10349,False,True,False
gene_10350,False,True,False
gene_10353,True,True,True
gene_10363,True,True,True
gene_10402,True,True,True
gene_10411,True,True,True
gene_10412,True,False,False
gene_10421,True,True,True
gene_10428,True,True,True
gene_10431,False,True,False
gene_10460,True,True,True
gene_10479,True,False,False
gene_10521,False,True,False
gene_10523,True,False,False
gene_10548,False,True,False
gene_1058,True,True,True
gene_1059,True,True,True
gene_10594,True,False,False
gene_10603,False,True,False
gene_10632,True,False,False
gene_10646,True,True,True
gene_10674,True,False,False
gene_10683,True,False,False
gene_10690,True,True,True
gene_10731,True,True,True
gene_10809,True,True,True
gene_1082,True,False,False
gene_10841,True,True,True
gene_10844,True,False,False
gene_10850,False,True,False
gene_10854,False,True,False
gene_10867,True,False,False
gene_10876,False,True,False
gene_10921,True,True,True
gene_10950,True,True,True
gene_1096,True,True,True
gene_10995,True,True,True
gene_11000,True,False,False
gene_11011,False,True,False
gene_11026,True,True,True
gene_11030,True,True,True
gene_1105,False,True,False
gene_11059,True,True,True
gene_11107,True,True,True
gene_11124,True,True,True
gene_1122,True,True,True
gene_1123,True,True,True
gene_1124,False,True,False
gene_11249,False,True,False
gene_11250,True,True,True
gene_11252,True,False,False
gene_11259,True,True,True
gene_11280,False,True,False
gene_11310,True,True,True
gene_11313,True,False,False
gene_11345,True,True,True
gene_11346,True,True,True
gene_11349,True,True,True
gene_11352,True,True,True
gene_11353,False,True,False
gene_11354,False,True,False
gene_11358,False,True,False
gene_1137,True,True,True
gene_11388,True,True,True
gene_11391,False,True,False
gene_11393,True,True,True
gene_11409,False,True,False
gene_11449,True,True,True
gene_11457,True,True,True
gene_11464,True,True,True
gene_11474,True,True,True
gene_1149,True,True,True
gene_11494,False,True,False
gene_11508,True,False,False
gene_11538,True,False,False
gene_11550,True,True,True
gene_11564,False,True,False
gene_11566,True,True,True
gene_11596,True,True,True
gene_11652,True,True,True
gene_11670,True,False,False
gene_11672,True,False,False
gene_11675,True,True,True
gene_11698,True,True,True
gene_11713,True,True,True
gene_11762,True,True,True
gene_11763,False,True,False
gene_11772,True,False,False
gene_1184,True,True,True
gene_1189,True,True,True
gene_11894,True,False,False
gene_11903,True,True,True
gene_11905,True,False,False
gene_1191,True,True,True
gene_11910,True,True,True
gene_11916,True,True,True
gene_11920,True,True,True
gene_11965,True,True,True
gene_12013,True,True,True
gene_12018,True,True,True
gene_1204,True,False,False
gene_12061,False,True,False
gene_12068,True,True,True
gene_12069,True,True,True
gene_12078,True,True,True
gene_12079,True,True,True
gene_12089,True,False,False
gene_12109,True,True,True
gene_12113,True,True,True
gene_1212,True,True,True
gene_12120,True,False,False
gene_1216,True,True,True
gene_12187,True,True,True
gene_12188,True,True,True
gene_122,True,False,False
gene_12245,True,True,True
gene_12262,True,True,True
gene_12271,True,False,False
gene_12299,True,True,True
gene_12304,True,True,True
gene_12320,False,True,False
gene_12350,False,True,False
gene_12485,True,True,True
gene_12567,True,True,True
gene_12568,True,True,True
gene_12756,True,False,False
gene_12801,False,True,False
gene_12808,True,True,True
gene_12839,True,False,False
gene_12847,True,True,True
gene_12848,True,True,True
gene_12881,True,True,True
gene_12893,True,True,True
gene_12928,True,True,True
gene_12932,True,False,False
gene_12962,True,True,True
gene_12977,True,True,True
gene_12983,True,True,True
gene_12984,False,True,False
gene_12987,True,True,True
gene_12990,True,True,True
gene_12995,True,True,True
gene_13007,True,False,False
gene_13074,True,False,False
gene_13076,True,True,True
gene_13084,True,True,True
gene_1309,True,True,True
gene_13103,False,True,False
gene_13111,True,True,True
gene_13140,True,False,False
gene_13147,False,True,False
gene_1315,True,True,True
gene_13161,True,True,True
gene_13190,True,True,True
gene_13202,True,True,True
gene_13210,True,True,True
gene_13216,False,True,False
gene_13217,True,True,True
gene_13224,True,False,False
gene_13264,True,True,True
gene_13277,True,False,False
gene_13284,True,True,True
gene_13298,True,True,True
gene_1331,False,True,False
gene_13346,False,True,False
gene_13355,True,True,True
gene_13358,True,False,False
gene_13379,True,True,True
gene_1339,True,False,False
gene_134,True,True,True
gene_1340,True,True,True
gene_13459,True,False,False
gene_13462,False,True,False
gene_1347,False,True,False
gene_13474,False,True,False
gene_13489,True,False,False
gene_13493,True,True,True
gene_13497,True,True,True
gene_13507,True,True,True
gene_13510,True,False,False
gene_13511,True,False,False
gene_13513,True,True,True
gene_13517,True,True,True
gene_13527,True,True,True
gene_13576,True,False,False
gene_13597,True,True,True
gene_13611,False,True,False
gene_13613,True,True,True
gene_13631,True,False,False
gene_13639,True,True,True
gene_13640,True,True,True
gene_13678,False,True,False
gene_13687,True,True,True
gene_13690,False,True,False
gene_13710,True,False,False
gene_1376,True,True,True
gene_1377,True,True,True
gene_13792,False,True,False
gene_13801,False,True,False
gene_13809,True,True,True
gene_13810,True,True,True
gene_13815,True,True,True
gene_13818,True,True,True
gene_13824,True,True,True
gene_13833,True,True,True
gene_13834,True,False,False
gene_13835,True,True,True
gene_13838,True,False,False
gene_13910,True,False,False
gene_13916,True,True,True
gene_13950,True,True,True
gene_13976,True,True,True
gene_13998,True,True,True
gene_14031,True,False,False
gene_14068,False,True,False
gene_14079,True,False,False
gene_14089,False,True,False
gene_14092,True,True,True
gene_141,True,False,False
gene_1410,True,True,True
gene_14114,True,True,True
gene_14116,False,True,False
gene_14122,True,True,True
gene_14153,True,True,True
gene_14157,True,False,False
gene_14177,True,True,True
gene_14190,True,True,True
gene_14199,True,True,True
gene_142,True,False,False
gene_14213,True,True,True
gene_1427,False,True,False
gene_14294,False,True,False
gene_14338,False,True,False
gene_14345,False,True,False
gene_14383,True,False,False
gene_14396,False,True,False
gene_14427,True,True,True
gene_14444,True,True,True
gene_14451,True,False,False
gene_14453,True,False,False
gene_14467,True,True,True
gene_1447,True,False,False
gene_1448,True,True,True
gene_145,True,True,True
gene_14503,True,True,True
gene_14506,False,True,False
gene_14523,True,True,True
gene_14572,True,False,False
gene_1458,False,True,False
gene_1460,True,False,False
gene_1462,True,True,True
gene_14623,False,True,False
gene_14673,True,False,False
gene_14685,True,True,True
gene_1470,True,True,True
gene_14767,True,True,True
gene_14780,True,False,False
gene_14798,True,True,True
gene_148,True,True,True
gene_14818,True,True,True
gene_1482,True,True,True
gene_14821,True,True,True
gene_14823,True,True,True
gene_14834,False,True,False
gene_14845,True,True,True
gene_14865,True,True,True
gene_14866,True,True,True
gene_14923,True,True,True
gene_14936,True,False,False
gene_14986,False,True,False
gene_15002,True,False,False
gene_15007,False,True,False
gene_15016,True,True,True
gene_15055,True,False,False
gene_15065,True,False,False
gene_15089,True,True,True
gene_1509,True,True,True
gene_1510,True,True,True
gene_15117,True,True,True
gene_1515,True,True,True
gene_15159,False,True,False
gene_1516,True,False,False
gene_15161,True,True,True
gene_15301,True,True,True
gene_15302,True,True,True
gene_15329,True,True,True
gene_15371,True,True,True
gene_15380,True,True,True
gene_15424,True,True,True
gene_15437,True,True,True
