delta,n_active_genes,train_acc,test_acc
0.0,20254,0.99375,0.9875776397515528
0.5,19587,0.99375,0.9875776397515528
1.0,19147,0.996875,0.9875776397515528
1.5,18603,0.9984375,0.9875776397515528
2.0,17808,0.9984375,0.9875776397515528
3.0,15548,0.996875,0.9875776397515528
4.0,12935,0.996875,0.9937888198757764
6.0,8587,0.996875,0.9937888198757764
8.0,5476,0.996875,0.9937888198757764
10.0,3463,0.9953125,0.9875776397515528
15.0,1157,0.99375,0.9875776397515528
20.0,478,0.99375,0.9813664596273292
25.0,221,0.9953125,0.9813664596273292
30.0,123,0.996875,0.9813664596273292
40.0,37,0.99375,0.9627329192546584
50.0,9,0.8859375,0.84472049689441
