class,gene,shrunken_d_score
BRCA,gene_7964,-41.7866063518383
BRCA,gene_17801,-27.885680389177082
BRCA,gene_7896,-26.21854832944625
BRCA,gene_9652,24.776301234742462
BRCA,gene_6876,24.729081293340073
BRCA,gene_18746,23.675618321491054
BRCA,gene_15589,23.52657392664341
BRCA,gene_7965,-20.45291436413465
BRCA,gene_6816,-20.06960571697484
BRCA,gene_16372,-19.99731013270487
BRCA,gene_8349,-19.933607926348547
BRCA,gene_5407,19.23245631450587
BRCA,gene_6530,18.79547621560576
BRCA,gene_628,-18.226714897167728
BRCA,gene_3461,-18.093950018562385
BRCA,gene_2747,17.94608362816337
BRCA,gene_17904,17.696795539771554
BRCA,gene_6611,-17.29584740485767
BRCA,gene_17905,16.894680716394152
BRCA,gene_3439,-16.882466471523657
COAD,gene_3523,33.600372967479046
COAD,gene_5829,29.717377729693624
COAD,gene_7238,27.556459771451635
COAD,gene_3524,27.54259352020148
COAD,gene_7560,27.518431794624348
COAD,gene_12013,26.563617539934903
COAD,gene_2037,26.379522972678593
COAD,gene_11449,24.536689630861815
COAD,gene_3440,24.02291519099378
COAD,gene_10809,22.829907975994214
COAD,gene_9232,21.910412812651362
COAD,gene_1189,20.843144185197524
COAD,gene_7965,20.661717610059377
COAD,gene_2638,20.05689970651093
COAD,gene_13202,19.51455281758771
COAD,gene_12079,19.151306306835288
COAD,gene_5667,18.77420057241568
COAD,gene_11059,18.6655749932565
COAD,gene_1663,17.857631661084042
COAD,gene_3921,17.80998783094272
KIRC,gene_219,50.94676062134644
KIRC,gene_220,50.24320283479875
KIRC,gene_3439,44.640665159062465
KIRC,gene_6733,43.29403294525612
KIRC,gene_16169,41.87843465227516
KIRC,gene_14114,41.07950608224025
KIRC,gene_16132,40.032873764665304
KIRC,gene_7421,-39.35208534671403
KIRC,gene_1510,39.09733206411476
KIRC,gene_13818,39.094501677932044
KIRC,gene_450,38.7030323178848
KIRC,gene_1858,37.94715949245127
KIRC,gene_16392,37.75098840512101
KIRC,gene_19153,37.233483065950004
KIRC,gene_11566,36.69497428736018
KIRC,gene_16246,36.08725414182492
KIRC,gene_16342,35.79626536386196
KIRC,gene_14503,-33.712568340399415
KIRC,gene_7116,32.26248947556601
KIRC,gene_16130,32.195259444376184
LUAD,gene_15898,51.73072481606029
LUAD,gene_15895,49.475361410522225
LUAD,gene_15896,41.5724953548792
LUAD,gene_11903,38.265165399901264
LUAD,gene_15894,33.529959738345575
LUAD,gene_15591,31.1053893866167
LUAD,gene_15899,30.35284348111815
LUAD,gene_11550,30.135903959812865
LUAD,gene_15161,27.457688973735266
LUAD,gene_15897,25.11125191772443
LUAD,gene_11352,24.415274235146086
LUAD,gene_2506,20.76039170724031
LUAD,gene_15577,19.746103877468418
LUAD,gene_15900,19.515161538006176
LUAD,gene_13639,18.75024905253028
LUAD,gene_4422,16.91175914103511
LUAD,gene_15633,16.23124189217359
LUAD,gene_19648,15.82926153015995
LUAD,gene_6160,15.52234503662564
LUAD,gene_3695,15.49532168036296
PRAD,gene_9175,66.9727970045777
PRAD,gene_9176,63.43471039182744
PRAD,gene_18135,46.1278551616619
PRAD,gene_3737,40.60666976592848
PRAD,gene_12995,39.78589100634847
PRAD,gene_203,38.766839169403056
PRAD,gene_13976,36.56271564661049
PRAD,gene_9626,32.220063595304026
PRAD,gene_16358,30.96058916156698
PRAD,gene_9177,30.563015623415062
PRAD,gene_12069,30.03939247521585
PRAD,gene_12848,28.954652341184207
PRAD,gene_12568,28.459406714168978
PRAD,gene_17664,28.204695574751888
PRAD,gene_12881,27.01702313058871
PRAD,gene_11910,27.010080010948123
PRAD,gene_18745,26.435417039298528
PRAD,gene_1482,25.94739594222851
PRAD,gene_4456,25.80740544212467
PRAD,gene_6361,25.524346335130232
